Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,83.477798,83.481300,83.249001,83.477798,83.477798,0
2024-04-08,83.296799,83.336098,83.232697,83.296799,83.296799,0
2024-04-09,83.269600,83.337402,83.173302,83.269600,83.269600,0
2024-04-10,83.224297,83.401398,83.154999,83.224297,83.224297,0
2024-04-11,83.412697,83.473099,83.302399,83.412697,83.412697,0
2024-04-12,83.349297,83.615898,83.254204,83.349297,83.349297,0
2024-04-15,83.611099,83.611504,83.417397,83.611099,83.611099,0
2024-04-16,83.505997,83.696800,83.211899,83.505997,83.505997,0
2024-04-17,83.667503,83.735001,83.577400,83.667503,83.667503,0
2024-04-18,83.595802,83.614197,83.484802,83.595802,83.595802,0
2024-04-19,83.544998,83.739601,83.364998,83.544998,83.544998,0
2024-04-22,83.385300,83.446297,83.321602,83.385300,83.385300,0
2024-04-23,83.386200,83.389999,83.228104,83.386200,83.386200,0
2024-04-24,83.283302,83.349602,83.259102,83.283302,83.283302,0
2024-04-25,83.340599,83.396004,83.268799,83.340599,83.340599,0
2024-04-26,83.301804,83.415298,83.264999,83.301804,83.301804,0
2024-04-29,83.402298,83.573502,83.298302,83.402298,83.402298,0
2024-04-30,83.451103,83.519699,83.398003,83.451103,83.451103,0
2024-05-01,83.498398,83.571404,83.260101,83.498398,83.498398,0
2024-05-02,83.429001,83.472504,83.366997,83.417000,83.417000,0
